Id,Prediction
0,0
1,2
2,2
3,1
4,2
5,2
6,2
7,2
8,1
9,1
10,2
11,2
12,2
13,2
14,2
15,2
16,1
17,1
18,1
19,2
20,1
21,1
22,1
23,1
24,2
25,2
26,2
27,1
28,1
29,1
30,1
31,2
32,1
33,2
34,2
35,2
36,2
37,2
38,1
39,2
40,2
41,1
42,1
43,2
44,1
45,2
46,1
47,1
48,1
49,2
50,2
51,2
52,1
53,2
54,2
55,2
56,2
57,1
58,1
59,1
60,1
61,2
62,1
63,2
64,1
65,1
66,1
67,1
68,2
69,2
70,1
71,2
72,1
73,2
74,0
75,1
76,1
77,2
78,2
79,1
80,2
81,2
82,1
83,2
84,2
85,2
86,1
87,1
88,2
89,2
90,2
91,1
92,2
93,1
94,1
95,2
96,2
97,0
98,0
99,0
100,1
101,1
102,1
103,1
104,1
105,1
106,2
107,1
108,1
109,1
110,2
111,1
112,1
113,1
114,0
115,0
116,1
117,2
118,1
119,1
120,2
121,0
122,0
123,0
124,2
125,2
126,1
127,2
128,1
129,1
130,1
131,0
132,1
133,0
134,1
135,0
136,1
137,1
138,1
139,1
140,1
141,0
142,1
143,2
144,1
145,2
146,1
147,1
148,1
149,1
150,2
151,2
152,2
153,1
154,1
155,1
156,1
157,0
158,1
159,1
160,2
161,1
162,1
163,2
164,1
165,1
166,1
167,0
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,2
177,2
178,1
179,1
180,1
181,2
182,1
183,1
184,2
185,1
186,1
187,2
188,1
189,1
190,1
191,1
192,1
193,1
194,0
195,1
196,1
197,1
198,0
199,0
200,0
201,1
202,1
203,1
204,1
205,2
206,1
207,1
208,1
209,1
210,1
211,2
212,2
213,2
214,1
215,2
216,1
217,1
218,0
219,0
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,2
231,1
232,1
233,1
234,1
235,2
236,0
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,2
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,2
254,0
255,1
256,2
257,2
258,1
259,1
260,1
261,1
262,1
263,2
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,2
275,1
276,1
277,1
278,1
279,1
280,1
281,2
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,2
292,1
293,1
294,1
295,1
296,1
297,1
298,0
299,1
300,1
301,1
302,0
303,1
304,1
305,2
306,1
307,0
308,2
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,2
318,1
319,1
320,1
321,1
322,1
323,1
324,2
325,0
326,1
327,1
328,1
329,0
330,2
331,1
332,1
333,1
334,1
335,1
336,0
337,1
338,0
339,2
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,0
363,0
364,1
365,0
366,1
367,1
368,1
369,1
370,1
371,0
372,1
373,1
374,0
375,0
376,1
377,1
378,1
379,1
380,0
381,0
382,0
383,2
384,1
385,1
386,1
387,2
388,1
389,0
390,1
391,1
392,1
393,1
394,0
395,1
396,1
397,1
398,0
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,0
407,1
408,0
409,0
410,1
411,1
412,0
413,1
414,1
415,1
416,1
417,2
418,1
419,1
420,1
421,2
422,1
423,1
424,1
425,0
426,2
427,1
428,2
429,1
430,1
431,1
432,0
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,2
446,2
447,1
448,1
449,1
450,2
451,1
452,1
453,1
454,1
455,1
456,0
457,0
458,1
459,1
460,0
461,1
462,0
463,1
464,0
465,1
466,1
467,1
468,1
469,1
470,1
471,0
472,1
473,1
474,1
475,0
476,1
477,0
478,1
479,1
480,0
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,0
492,1
493,0
494,1
495,0
496,0
497,0
498,0
499,0
500,1
501,0
502,0
503,0
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,2
512,1
513,1
514,1
515,0
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,2
535,1
536,2
537,2
538,1
539,2
540,0
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,0
554,1
555,0
556,1
557,2
558,2
559,2
560,2
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,2
569,2
570,2
571,1
572,1
573,1
574,1
575,1
576,2
577,1
578,1
579,2
580,2
581,1
582,1
583,2
584,2
585,1
586,0
587,0
588,1
589,1
590,2
591,1
592,2
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,2
627,1
628,2
629,2
630,1
631,2
632,1
633,1
634,1
635,0
636,1
637,0
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,1
646,1
647,0
648,0
649,1
650,1
651,2
652,0
653,0
654,1
655,1
656,0
657,0
658,0
659,1
660,1
661,0
662,1
663,0
664,0
665,0
666,1
667,1
668,1
669,0
670,0
671,1
672,1
673,0
674,0
675,1
676,1
677,1
678,0
679,1
680,0
681,1
682,1
683,0
684,1
685,1
686,1
687,1
688,0
689,0
690,1
691,1
692,1
693,1
694,0
695,1
696,0
697,1
698,1
699,0
700,1
701,0
702,1
703,1
704,1
705,0
706,1
707,1
708,1
709,2
710,1
711,1
712,1
713,2
714,1
715,2
716,2
717,0
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,0
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,2
739,1
740,1
741,1
742,2
743,1
744,1
745,0
746,1
747,1
748,1
749,1
750,0
751,0
752,1
753,2
754,1
755,1
756,1
757,1
758,0
759,1
760,2
761,2
762,1
763,2
764,1
765,1
766,0
767,1
768,2
769,2
770,2
771,2
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,0
781,1
782,1
783,2
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,2
792,2
793,1
794,1
795,1
796,1
797,1
798,1
799,2
800,0
801,2
802,2
803,1
804,2
805,0
806,1
807,1
808,1
809,1
810,0
811,1
812,1
813,0
814,0
815,1
816,0
817,0
818,1
819,2
820,1
821,1
822,1
823,0
824,1
825,1
826,1
827,1
828,2
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,0
837,1
838,0
839,1
840,1
841,0
842,0
843,1
844,0
845,1
846,0
847,1
848,1
849,1
850,0
851,0
852,0
853,1
854,2
855,1
856,1
857,2
858,0
859,1
860,0
861,1
862,1
863,1
864,1
865,0
866,0
867,1
868,0
869,1
870,1
871,1
872,1
873,1
874,1
875,1
876,1
877,1
878,1
879,1
880,0
881,0
882,1
883,1
884,0
885,1
886,0
887,1
888,1
889,0
890,1
891,1
892,1
893,0
894,0
895,2
896,2
897,2
898,0
899,1
900,1
901,1
902,2
903,0
904,1
905,1
906,1
907,1
908,1
909,0
910,1
911,1
912,1
913,1
914,2
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,1
929,1
930,0
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,1
939,1
940,0
941,1
942,0
943,1
944,1
945,1
946,1
947,1
948,1
949,2
950,1
951,1
952,1
953,1
954,1
955,1
956,1
957,1
958,1
959,1
960,1
961,0
962,1
963,1
964,1
965,1
966,1
967,1
968,1
969,1
970,1
971,1
972,1
973,1
974,1
975,0
976,1
977,0
978,1
979,1
980,1
981,1
982,1
983,1
984,2
985,1
986,1
987,1
988,0
989,1
990,1
991,1
992,1
993,1
994,2
995,2
996,2
997,1
998,2
999,2
1000,1
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,1
1008,0
1009,1
1010,1
1011,0
1012,1
1013,1
1014,2
1015,1
1016,1
1017,2
1018,1
1019,1
1020,1
1021,2
1022,1
1023,1
1024,1
1025,1
1026,1
1027,2
1028,1
1029,2
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1041,2
1042,1
1043,1
1044,1
1045,1
1046,2
1047,1
1048,1
1049,1
1050,1
1051,0
1052,0
1053,1
1054,1
1055,2
1056,2
1057,0
1058,2
1059,2
1060,1
1061,1
1062,1
1063,1
1064,1
1065,1
1066,1
1067,1
1068,1
1069,1
1070,1
1071,1
1072,0
1073,1
1074,1
1075,1
1076,1
1077,1
1078,1
1079,1
1080,1
1081,1
1082,1
1083,1
1084,1
1085,1
1086,1
1087,1
1088,2
1089,1
1090,1
1091,1
1092,1
1093,2
1094,1
1095,1
1096,1
1097,0
1098,1
1099,1
1100,1
1101,1
1102,1
1103,0
1104,1
1105,0
1106,1
1107,2
1108,0
1109,1
1110,2
1111,1
1112,0
1113,2
1114,0
1115,0
1116,0
1117,0
1118,1
1119,1
1120,1
1121,2
1122,0
1123,1
1124,1
1125,1
1126,1
1127,1
1128,1
1129,1
1130,0
1131,1
1132,1
1133,1
1134,0
1135,1
1136,1
1137,1
1138,1
1139,1
1140,2
1141,1
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,1
1149,2
1150,2
1151,1
1152,1
1153,2
1154,2
1155,1
1156,1
1157,1
1158,1
1159,2
1160,1
1161,1
1162,0
1163,1
1164,1
1165,1
1166,1
1167,1
1168,1
1169,1
1170,2
1171,1
1172,1
1173,1
1174,1
1175,1
1176,1
1177,1
1178,1
1179,2
1180,0
1181,1
1182,1
1183,0
1184,1
1185,1
1186,1
1187,2
1188,2
1189,1
1190,1
1191,0
1192,1
1193,1
1194,1
1195,1
1196,1
1197,1
1198,1
1199,1
1200,0
1201,0
1202,1
1203,1
1204,0
1205,1
1206,1
1207,1
1208,1
1209,1
1210,1
1211,1
1212,1
1213,1
1214,1
1215,1
1216,1
1217,1
1218,1
1219,1
1220,1
1221,1
1222,1
1223,1
1224,1
1225,1
1226,2
1227,2
1228,1
1229,1
1230,1
1231,1
1232,1
1233,1
