Id,Prediction
0,1
1,1
2,2
3,0
4,1
5,1
6,2
7,2
8,2
9,2
10,1
11,2
12,2
13,2
14,2
15,2
16,0
17,1
18,2
19,2
20,1
21,0
22,2
23,2
24,2
25,0
26,2
27,1
28,0
29,0
30,0
31,2
32,0
33,2
34,1
35,2
36,2
37,2
38,0
39,1
40,0
41,0
42,2
43,1
44,0
45,2
46,2
47,1
48,0
49,2
50,2
51,2
52,2
53,0
54,2
55,1
56,2
57,0
58,2
59,1
60,2
61,2
62,0
63,0
64,1
65,1
66,1
67,1
68,1
69,1
70,2
71,2
72,2
73,1
74,0
75,1
76,1
77,2
78,2
79,1
80,1
81,1
82,0
83,2
84,1
85,0
86,2
87,1
88,2
89,0
90,1
91,2
92,1
93,2
94,1
95,1
96,0
97,0
98,0
99,2
100,0
101,1
102,2
103,1
104,2
105,1
106,1
107,0
108,2
109,0
110,2
111,1
112,2
113,1
114,1
115,1
116,1
117,1
118,0
119,1
120,1
121,1
122,0
123,0
124,2
125,0
126,1
127,2
128,1
129,1
130,2
131,0
132,0
133,1
134,0
135,0
136,2
137,0
138,0
139,0
140,1
141,2
142,0
143,1
144,1
145,1
146,1
147,2
148,0
149,1
150,0
151,0
152,2
153,0
154,1
155,2
156,0
157,1
158,0
159,0
160,1
161,1
162,2
163,0
164,0
165,2
166,2
167,1
168,1
169,0
170,2
171,2
172,1
173,1
174,1
175,0
176,1
177,2
178,1
179,1
180,1
181,2
182,2
183,1
184,2
185,2
186,2
187,1
188,2
189,2
190,2
191,1
192,1
193,1
194,1
195,0
196,0
197,1
198,0
199,1
200,2
201,2
202,0
203,1
204,0
205,1
206,1
207,2
208,1
209,1
210,1
211,1
212,2
213,2
214,2
215,1
216,1
217,1
218,0
219,0
220,0
221,2
222,1
223,0
224,1
225,0
226,1
227,1
228,2
229,2
230,1
231,2
232,2
233,0
234,0
235,1
236,0
237,0
238,0
239,2
240,2
241,2
242,0
243,1
244,0
245,1
246,2
247,1
248,1
249,2
250,2
251,1
252,0
253,1
254,0
255,0
256,1
257,1
258,1
259,1
260,1
261,2
262,1
263,2
264,1
265,2
266,1
267,1
268,1
269,0
270,0
271,2
272,1
273,1
274,1
275,2
276,0
277,1
278,1
279,1
280,1
281,0
282,2
283,2
284,1
285,1
286,1
287,0
288,0
289,2
290,1
291,1
292,0
293,1
294,0
295,0
296,1
297,1
298,1
299,1
300,2
301,1
302,1
303,0
304,0
305,2
306,1
307,0
308,0
309,1
310,1
311,1
312,1
313,1
314,1
315,0
316,0
317,1
318,2
319,1
320,0
321,2
322,1
323,0
324,1
325,0
326,0
327,0
328,1
329,0
330,2
331,0
332,1
333,1
334,0
335,1
336,0
337,0
338,0
339,0
340,0
341,2
342,2
343,0
344,2
345,2
346,1
347,1
348,1
349,2
350,0
351,0
352,1
353,1
354,1
355,0
356,1
357,2
358,0
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,2
368,2
369,1
370,1
371,2
372,1
373,1
374,0
375,1
376,2
377,1
378,2
379,2
380,0
381,1
382,2
383,1
384,1
385,1
386,2
387,1
388,2
389,0
390,1
391,1
392,0
393,1
394,2
395,0
396,1
397,1
398,1
399,2
400,0
401,2
402,2
403,0
404,1
405,1
406,1
407,2
408,0
409,1
410,1
411,2
412,2
413,2
414,1
415,0
416,0
417,1
418,2
419,2
420,0
421,1
422,2
423,1
424,2
425,0
426,2
427,1
428,2
429,1
430,2
431,2
432,1
433,2
434,1
435,0
436,1
437,0
438,2
439,0
440,0
441,2
442,1
443,2
444,2
445,2
446,1
447,1
448,1
449,2
450,0
451,1
452,1
453,0
454,1
455,1
456,1
457,0
458,1
459,1
460,2
461,0
462,2
463,1
464,1
465,1
466,2
467,0
468,2
469,1
470,2
471,0
472,0
473,2
474,1
475,0
476,1
477,2
478,1
479,1
480,0
481,0
482,2
483,1
484,1
485,1
486,2
487,1
488,1
489,1
490,0
491,1
492,1
493,0
494,0
495,1
496,2
497,0
498,1
499,2
500,1
501,1
502,0
503,0
504,1
505,1
506,1
507,0
508,2
509,2
510,1
511,2
512,1
513,1
514,2
515,0
516,0
517,0
518,2
519,1
520,2
521,1
522,1
523,1
524,1
525,2
526,1
527,2
528,1
529,1
530,1
531,0
532,1
533,2
534,1
535,2
536,2
537,2
538,2
539,1
540,0
541,1
542,2
543,1
544,0
545,2
546,1
547,0
548,1
549,1
550,2
551,1
552,1
553,0
554,1
555,0
556,1
557,2
558,0
559,1
560,2
561,1
562,0
563,0
564,0
565,0
566,0
567,2
568,2
569,2
570,1
571,0
572,0
573,2
574,1
575,1
576,0
577,1
578,1
579,1
580,1
581,0
582,1
583,2
584,0
585,1
586,0
587,0
588,1
589,2
590,0
591,0
592,1
593,1
594,1
595,1
596,2
597,2
598,0
599,1
600,2
601,2
602,1
603,0
604,1
605,0
606,1
607,2
608,1
609,1
610,1
611,1
612,0
613,1
614,1
615,0
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,0
624,0
625,0
626,1
627,1
628,2
629,2
630,0
631,2
632,1
633,1
634,1
635,1
636,1
637,0
638,1
639,0
640,1
641,1
642,1
643,0
644,2
645,0
646,2
647,0
648,1
649,2
650,1
651,0
652,1
653,1
654,0
655,1
656,0
657,2
658,0
659,1
660,1
661,1
662,1
663,1
664,1
665,0
666,2
667,1
668,1
669,1
670,0
671,0
672,0
673,0
674,1
675,0
676,1
677,1
678,0
679,2
680,1
681,1
682,2
683,1
684,0
685,2
686,0
687,2
688,1
689,2
690,2
691,2
692,1
693,1
694,0
695,2
696,0
697,1
698,1
699,1
700,1
701,0
702,2
703,1
704,0
705,0
706,1
707,1
708,0
709,1
710,0
711,1
712,1
713,1
714,1
715,2
716,0
717,2
718,0
719,2
720,0
721,1
722,2
723,1
724,2
725,1
726,1
727,1
728,2
729,0
730,0
731,0
732,1
733,2
734,1
735,0
736,0
737,0
738,2
739,1
740,1
741,1
742,0
743,2
744,0
745,1
746,2
747,1
748,1
749,0
750,2
751,0
752,0
753,1
754,2
755,1
756,1
757,0
758,1
759,0
760,0
761,2
762,1
763,2
764,1
765,2
766,1
767,2
768,2
769,1
770,2
771,1
772,1
773,0
774,2
775,1
776,1
777,0
778,0
779,0
780,1
781,1
782,0
783,1
784,1
785,0
786,1
787,1
788,2
789,1
790,1
791,1
792,1
793,0
794,0
795,2
796,1
797,2
798,1
799,0
800,2
801,2
802,0
803,2
804,0
805,2
806,1
807,2
808,0
809,0
810,0
811,1
