Id,Prediction
0,1
1,2
2,1
3,1
4,2
5,2
6,2
7,2
8,0
9,2
10,2
11,1
12,2
13,2
14,1
15,1
16,1
17,2
18,2
19,2
20,1
21,2
22,1
23,1
24,2
25,2
26,2
27,1
28,1
29,1
30,1
31,2
32,0
33,2
34,1
35,1
36,2
37,1
38,1
39,1
40,1
41,1
42,1
43,2
44,1
45,2
46,1
47,1
48,1
49,2
50,2
51,2
52,1
53,1
54,2
55,2
56,2
57,1
58,1
59,2
60,1
61,2
62,1
63,2
64,1
65,1
66,1
67,1
68,2
69,2
70,1
71,2
72,1
73,2
74,0
75,1
76,1
77,2
78,1
79,2
80,2
81,2
82,1
83,2
84,2
85,1
86,1
87,1
88,1
89,2
90,2
91,1
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,0
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,2
110,1
111,2
112,1
113,1
114,0
115,1
116,1
117,1
118,1
119,1
120,2
121,0
122,0
123,0
124,2
125,1
126,1
127,2
128,1
129,1
130,1
131,0
132,0
133,0
134,1
135,0
136,0
137,0
138,1
139,1
140,1
141,0
142,0
143,2
144,1
145,1
146,1
147,1
148,1
149,1
150,2
151,2
152,2
153,1
154,1
155,2
156,1
157,1
158,1
159,1
160,0
161,1
162,1
163,1
164,1
165,1
166,1
167,0
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,2
177,2
178,1
179,1
180,1
181,2
182,1
183,2
184,1
185,2
186,1
187,2
188,1
189,2
190,2
191,1
192,1
193,1
194,0
195,0
196,0
197,1
198,1
199,2
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,2
208,1
209,1
210,1
211,1
212,2
213,2
214,1
215,2
216,1
217,1
218,0
219,1
220,1
221,2
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,0
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,2
245,1
246,1
247,1
248,1
249,2
250,2
251,1
252,1
253,1
254,0
255,1
256,1
257,1
258,2
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,2
275,1
276,1
277,1
278,1
279,1
280,1
281,2
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,2
292,1
293,1
294,1
295,1
296,1
297,1
298,0
299,1
300,1
301,1
302,1
303,1
304,0
305,2
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,0
318,1
319,1
320,1
321,1
322,1
323,1
324,2
325,0
326,1
327,1
328,1
329,1
330,2
331,2
332,1
333,1
334,1
335,1
336,0
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,0
355,0
356,1
357,0
358,1
359,1
360,1
361,1
362,1
363,0
364,1
365,0
366,1
367,1
368,1
369,1
370,1
371,0
372,1
373,1
374,0
375,0
376,1
377,1
378,1
379,1
380,0
381,0
382,0
383,2
384,1
385,1
386,1
387,2
388,1
389,0
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,0
401,1
402,1
403,1
404,0
405,1
406,0
407,1
408,0
409,0
410,1
411,1
412,1
413,2
414,1
415,1
416,1
417,2
418,1
419,1
420,1
421,2
422,1
423,1
424,1
425,0
426,1
427,0
428,1
429,1
430,1
431,1
432,0
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,0
445,2
446,2
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,0
458,0
459,1
460,1
461,1
462,1
463,1
464,0
465,1
466,1
467,1
468,1
469,1
470,1
471,0
472,1
473,1
474,1
475,0
476,0
477,0
478,1
479,0
480,1
481,0
482,1
483,1
484,1
485,1
486,0
487,1
488,1
489,0
490,0
491,0
492,1
493,0
494,0
495,0
496,0
497,1
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,1
506,1
507,1
508,1
509,1
510,1
511,2
512,1
513,1
514,1
515,0
516,1
517,1
518,2
519,1
520,1
521,2
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,2
535,1
536,2
537,2
538,1
539,2
540,0
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,2
553,1
554,1
555,0
556,1
557,2
558,2
559,2
560,2
561,1
562,1
563,1
564,2
565,1
566,2
567,2
568,2
569,2
570,2
571,0
572,2
573,1
574,1
575,1
576,1
577,2
578,1
579,2
580,2
581,2
582,1
583,2
584,2
585,1
586,0
587,0
588,0
589,1
590,1
591,1
592,2
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,2
622,1
623,2
624,1
625,1
626,2
627,1
628,2
629,2
630,1
631,0
632,1
633,1
634,1
635,0
636,1
637,1
638,0
639,1
640,1
641,1
642,1
643,1
644,1
645,2
646,1
647,0
648,0
649,1
650,1
651,1
652,0
653,0
654,0
655,0
656,1
657,1
658,1
659,1
660,0
661,0
662,1
663,0
664,0
665,0
666,1
667,1
668,1
669,0
670,0
671,0
672,1
673,0
674,0
675,1
676,1
677,1
678,0
679,1
680,0
681,1
682,1
683,2
684,1
685,0
686,1
687,1
688,1
689,0
690,0
691,1
692,1
693,1
694,0
695,1
696,1
697,0
698,1
699,0
700,1
701,1
702,1
703,1
704,1
705,0
706,1
707,1
708,1
709,2
710,1
711,1
712,1
713,2
714,1
715,2
716,2
717,0
718,1
719,1
720,1
721,2
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,0
731,1
732,0
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,2
743,1
744,2
745,1
746,1
747,1
748,1
749,1
750,0
751,0
752,1
753,2
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,2
762,1
763,2
764,2
765,1
766,1
767,1
768,2
769,2
770,2
771,2
772,1
773,1
774,1
775,1
776,0
777,1
778,0
779,1
780,0
781,1
782,1
783,1
784,1
785,0
786,1
787,1
788,1
789,1
790,1
791,2
792,2
793,1
794,1
795,1
796,1
797,1
798,1
799,2
800,0
801,2
802,2
803,2
804,2
805,0
806,1
807,1
808,1
809,1
810,1
811,1
812,1
813,0
814,2
815,1
816,1
817,1
818,0
819,2
820,2
821,1
822,1
823,0
824,0
825,1
826,0
827,0
828,1
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,0
837,1
838,0
839,1
840,0
841,1
842,0
843,1
844,0
845,0
846,0
847,1
848,1
849,0
850,0
851,0
852,1
853,1
854,0
855,0
856,1
857,1
858,1
859,1
860,0
861,0
862,1
863,1
864,1
865,0
866,1
867,2
868,0
869,2
870,1
871,1
872,1
873,1
874,1
875,1
876,1
877,1
878,1
879,1
880,0
881,1
882,1
883,1
884,0
885,0
886,0
887,1
888,1
889,0
890,0
891,1
892,1
893,1
894,0
895,1
896,2
897,2
898,0
899,1
900,0
901,1
902,1
903,0
904,1
905,1
906,1
907,1
908,1
909,0
910,2
911,1
912,0
913,1
914,1
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,0
923,1
924,1
925,1
926,1
927,1
928,0
929,1
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,1
939,1
940,0
941,1
942,0
943,0
944,1
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,1
953,1
954,1
955,1
956,1
957,1
958,1
959,1
960,1
961,1
962,1
