Id,Prediction
0,2
1,2
2,1
3,1
4,1
5,1
6,2
7,1
8,2
9,1
10,2
11,2
12,1
13,2
14,1
15,2
16,1
17,1
18,1
19,2
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,2
29,2
30,1
31,2
32,2
33,2
34,2
35,1
36,2
37,1
38,1
39,1
40,2
41,2
42,1
43,2
44,2
45,1
46,1
47,1
48,1
49,2
50,2
51,2
52,2
53,2
54,1
55,2
56,2
57,1
58,1
59,2
60,1
61,1
62,2
63,2
64,2
65,2
66,2
67,2
68,1
69,2
70,1
71,2
72,2
73,2
74,1
75,2
76,2
77,1
78,1
79,1
80,2
81,2
82,1
83,2
84,1
85,2
86,1
87,2
88,2
89,2
90,1
91,1
92,1
93,1
94,2
95,1
96,2
97,2
98,2
99,2
100,1
101,1
102,1
103,2
104,1
105,1
106,2
107,2
108,2
109,1
110,1
111,1
112,2
113,1
114,1
115,1
116,1
117,2
118,2
119,1
120,2
121,2
122,1
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,1
131,1
132,2
133,1
134,2
135,2
136,2
137,2
138,1
139,1
140,1
141,2
142,1
143,2
144,2
145,2
146,1
147,1
148,1
149,1
150,2
151,2
152,2
153,1
154,1
155,1
156,1
157,2
158,2
159,1
160,2
161,2
162,1
163,2
164,2
165,2
166,1
167,2
168,2
169,2
170,2
171,1
172,1
173,1
174,2
175,2
176,2
177,1
178,2
179,2
180,2
181,2
182,1
183,1
184,2
185,1
186,1
187,2
188,2
189,1
190,1
191,1
192,1
193,1
194,2
195,2
196,2
197,2
198,1
199,1
200,1
201,1
202,1
203,2
204,1
205,2
206,2
207,2
208,1
209,1
210,1
211,2
212,1
213,2
214,1
215,2
216,2
217,2
218,2
219,1
220,1
221,2
222,2
223,1
224,1
225,1
226,1
227,2
228,1
229,2
230,2
231,1
232,1
233,1
234,2
235,1
236,2
237,1
238,2
239,2
240,2
241,2
242,1
243,2
244,2
245,2
246,1
247,2
248,2
249,2
250,2
251,2
252,2
253,2
254,2
255,1
256,2
257,2
258,2
259,2
260,2
261,2
262,2
263,2
264,2
265,2
266,2
267,1
268,1
269,2
270,2
271,2
272,1
273,1
274,2
275,2
276,2
277,1
278,2
279,1
280,1
281,2
282,1
283,1
284,2
285,2
286,2
287,2
288,2
289,2
290,2
291,2
292,2
293,2
294,2
295,1
296,2
297,1
298,2
299,1
300,2
301,2
302,2
303,2
304,2
305,2
306,1
307,1
308,2
309,2
310,2
311,1
312,2
313,2
314,1
315,2
316,2
317,1
318,2
319,2
320,2
321,2
322,2
323,2
324,2
325,1
326,2
327,2
328,2
329,2
330,2
331,2
332,2
333,2
334,2
335,2
336,2
337,1
338,2
339,1
340,1
341,2
342,2
343,2
344,1
345,1
346,1
347,2
348,1
349,1
350,2
351,2
352,1
353,1
354,2
355,1
356,1
357,2
358,1
359,1
360,1
361,2
362,1
363,1
364,1
365,1
366,1
367,2
368,2
369,2
370,1
371,1
372,2
373,2
374,2
375,2
376,1
377,1
378,1
379,2
380,1
381,1
382,2
383,1
384,1
385,2
386,1
387,2
388,2
389,2
390,1
391,2
392,1
393,1
394,1
395,2
396,1
397,1
398,1
399,1
400,2
401,2
402,1
403,1
404,2
405,2
406,1
407,2
408,1
409,2
410,2
411,2
412,1
413,2
414,1
415,1
416,1
417,1
418,2
419,2
420,1
421,1
422,2
423,2
424,2
425,1
426,2
427,2
428,2
429,2
430,2
431,1
432,2
433,1
434,2
435,1
436,1
437,2
438,1
439,2
440,1
441,1
442,1
443,1
444,2
445,2
446,1
447,2
448,1
449,2
450,1
451,1
452,1
453,2
454,2
455,1
456,2
457,2
458,2
459,1
460,1
461,2
462,2
463,1
464,1
465,1
466,1
467,2
468,2
469,2
470,2
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,2
481,1
482,2
483,2
484,2
485,2
486,1
487,2
488,2
489,1
490,1
491,2
492,1
493,2
494,2
495,1
496,2
497,1
498,1
499,1
500,1
501,2
502,1
503,1
504,1
505,1
506,2
507,1
508,2
509,1
510,2
511,1
512,2
513,1
514,1
515,1
516,1
517,1
518,2
519,1
520,1
521,1
522,1
523,2
524,2
525,1
526,2
527,2
528,1
529,1
530,2
531,2
532,2
533,1
534,1
535,2
536,2
537,1
538,2
539,2
540,2
541,2
542,1
543,2
544,2
545,2
